Año,Fecha (dd/mm/aaaa),TRM,Día del mes,Mes,Id Mes
2022,2022-09-18,"4435,84",18,Septiembre,9
2022,2022-09-19,"4435,84",19,Septiembre,9
2022,2022-09-20,"4415,11",20,Septiembre,9
2022,2022-09-21,"4420,38",21,Septiembre,9
2022,2022-09-22,"4403,82",22,Septiembre,9
2022,2022-09-23,"4379,8",23,Septiembre,9
2022,2022-09-24,"4426,47",24,Septiembre,9
2022,2022-09-25,"4426,47",25,Septiembre,9
2022,2022-09-26,"4426,47",26,Septiembre,9
2022,2022-09-27,"4496,99",27,Septiembre,9
2022,2022-09-28,"4556,42",28,Septiembre,9
2022,2022-09-29,"4486,94",29,Septiembre,9
2022,2022-09-30,"4532,07",30,Septiembre,9
2022,2022-10-01,"4590,54",1,Octubre,10
2022,2022-10-02,"4590,54",2,Octubre,10
2022,2022-10-03,"4590,54",3,Octubre,10
2022,2022-10-04,"4545,66",4,Octubre,10
2022,2022-10-05,"4484,74",5,Octubre,10
2022,2022-10-06,"4548,89",6,Octubre,10
2022,2022-10-07,"4627,61",7,Octubre,10
2022,2022-10-08,"4605,29",8,Octubre,10
2022,2022-10-09,"4605,29",9,Octubre,10
2022,2022-10-10,"4605,29",10,Octubre,10
2022,2022-10-11,"4605,29",11,Octubre,10
2022,2022-10-12,"4611,88",12,Octubre,10
2022,2022-10-13,"4611,18",13,Octubre,10
2022,2022-10-14,"4619,78",14,Octubre,10
2022,2022-10-15,"4636,83",15,Octubre,10
2022,2022-10-16,"4636,83",16,Octubre,10
2022,2022-10-17,"4636,83",17,Octubre,10
2022,2022-10-18,"4636,83",18,Octubre,10
2022,2022-10-19,"4744,04",19,Octubre,10
2022,2022-10-20,"4815,09",20,Octubre,10
2022,2022-10-21,"4885,5",21,Octubre,10
2022,2022-10-22,"4913,24",22,Octubre,10
2022,2022-10-23,"4913,24",23,Octubre,10
2022,2022-10-24,"4913,24",24,Octubre,10
2022,2022-10-25,"4968,94",25,Octubre,10
2022,2022-10-26,"4948,14",26,Octubre,10
2022,2022-10-27,"4895,29",27,Octubre,10
2022,2022-10-28,"4821,92",28,Octubre,10
2022,2022-10-29,"4819,42",29,Octubre,10
2022,2022-10-30,"4819,42",30,Octubre,10
2022,2022-10-31,"4819,42",31,Octubre,10
2022,2022-11-01,"4898,74",1,Noviembre,11
